PLAYLIST,CLEANED_FEATURES_TRACK_NAME,ARTIST,DANCEABILITY,ENERGY,VALENCE,TEMPO
Hymn🌥️🩶,Love Yourself,Justin Bieber,0.1297,0.1556,0.4992,99.38
Hymn🌥️🩶,Sorry,Justin Bieber,0.0683,0.2083,0.0851,136
Hymn🌥️🩶,Say You Won t Let Go,James Arthur,0.0707,0.1103,0.5675,129.2
Hymn🌥️🩶,Can I Be Him,James Arthur,0.0834,0.1025,0.4188,107.67
Hymn🌥️🩶,Treat You Better,Shawn Mendes,0.0898,0.1318,0.263,112.35
Hymn🌥️🩶,When We Were Young,Adele,0.0689,0.1252,0.3206,136
Hymn🌥️🩶,Stitches,Shawn Mendes,0.11,0.0555,0.3296,152
Hymn🌥️🩶,Mercy,Shawn Mendes,0.1314,0.1019,0.2051,143.55
Hymn🌥️🩶,Too Good At Goodbyes,Sam Smith,0.0769,0.0619,0.3201,123.05
Hymn🌥️🩶,Just the Way You Are,Bruno Mars,0.072,0.1179,2.2187,107.67
Hymn🌥️🩶,Happier,Ed Sheeran,0.0671,0.0706,,89.1
Hymn🌥️🩶,One Last Time,Ariana Grande,0.0976,0.1857,0.089,123.05
Hymn🌥️🩶,Scars To Your Beautiful,Alessia Cara,0.1271,0.197,0.2509,129.2
Hymn🌥️🩶,Paris,The Chainsmokers,0.0803,0.1265,0.2272,99.38
Hymn🌥️🩶,Love Me Like You Do,Ellie Goulding,0.1071,0.0451,0.3184,123.05
Hymn🌥️🩶,Wildest Dreams,Taylor Swift,0.1306,0.1559,0.2879,136
Hymn🌥️🩶,Blank Space,Taylor Swift,0.0668,0.1539,0.0857,95.7
Hymn🌥️🩶,I Like Me Better,Lauv,0.1006,0.1241,0.0804,92.29
Hymn🌥️🩶,Falling,Harry Styles,0.0535,0.0923,0.034,112.35
Feels 🤍,Hey Minnale,G. V. Prakash,0.0721,0.0943,0.5279,107.67
Feels 🤍,Ayyayo,G. V. Prakash,0.078,0.1389,0.8186,143.55
Feels 🤍,Koodha Kaathu,D. Imman,0.0955,0.0432,,136
Feels 🤍,Kannmoodi thirakkum,Devi Sri Prasad,0.1593,0.0192,0.086,129.2
Feels 🤍,Chinna Chinna Kangal,Thalapathy Vijay,0.068,0.1916,,152
Feels 🤍,Yedhedho Pennae,G. V. Prakash,0.1016,0.0726,0.2117,107.67
Feels 🤍,Ennai Vittu,Yuvan Shankar Raja,0.0948,0.2065,0.2094,136
Feels 🤍,Para Para,N.R. Raghunanthan,0.1192,0.1862,0.134,123.05
Feels 🤍,Dhinam Dhinamum,Ilaiyaraaja,0.0731,0.0973,0.3205,103.36
Feels 🤍,Nila Nee Vaanam,Sabesh Murali,0.1155,0.2043,0.097,136
Feels 🤍,Life of Pazham,Anirudh Ravichander,0.1249,0.1037,,172.27
Feels 🤍,Mannipaaya,A.R. Rahman,0.0926,0.0702,0.4309,112.35
Feels 🤍,Machaan Machaan,Yuvan Shankar Raja,0.0811,0.1081,0.0551,123.05
Feels 🤍,Kona Kondakari,N.R. Raghunanthan,0.0925,0.1807,,123.05
Feels 🤍,Mazhaiye Mazhaiye,Thaman S,0.0551,0.1098,0.3286,99.38
Feels 🤍,Chotta Chotta,C. Sathya,0.0802,0.2556,,117.45
Feels 🤍,Maari s Aanandhi,Ilaiyaraaja,0.0465,0.1694,0.1333,99.38
Feels 🤍,Kannukkulle,Unni Menon,0.1138,0.0391,0.0592,117.45
Feels 🤍,Mazhai Vara Pogudhae,Harris Jayaraj,0.1016,0.0979,0.0253,117.45
