track_name,danceability,energy,valence,tempo
Adiye___From__Bachelor_,0.0768,0.0815,0.5289,123.05
Mercy,0.1314,0.1019,0.2051,143.55
Innum_Konjam_Naeram,0.0892,0.1039,-0.2685,89.1
Mannipaaya,0.0926,0.0702,0.4309,112.35
Amma_Amma__From__Velai_Illa_Pattadhaari__,0.0709,0.1031,0.1803,152.0
Wildest_Dreams,0.1306,0.1559,0.2879,136.0
Vaa_Vaa_Anbe,0.0817,0.0662,-1.4929,92.29
Ilaya_Nila,0.1292,0.1683,0.1695,107.67
One_Last_Time,0.0976,0.1857,0.089,123.05
Roja_Kadale,0.0716,0.1883,-1.0815,143.55
Naan_Sonnadhum_Mazhai,0.0634,0.2063,-0.845,89.1
Orey_Oru,0.0994,0.0866,0.2445,152.0
Blank_Space,0.0668,0.1539,0.0857,95.7
Thee_Illai,0.0893,0.1674,0.1724,95.7
Calm_Down__with_Selena_Gomez_,0.063,0.2278,-0.5219,143.55
Yennachu_Yedhachu,0.0837,0.0761,1.5091,123.05
Maari_s_Aanandhi,0.0465,0.1694,0.1333,99.38
The_Romance_Of_Power_Paandi___Venpani_Malare__Male_,0.0771,0.1391,-0.1012,92.29
Life_of_Pazham,0.1249,0.1037,-0.1233,172.27
Yedho_Ondru_Ennai,0.0966,0.0952,0.1849,123.05
Falling,0.0535,0.0923,0.034,112.35
Ennai_Kollathey,0.0468,0.2444,0.1199,136.0
Idhazhin_Oram___The_Innocence_of_Love,0.0571,0.0432,0.9445,117.45
Koodha_Kaathu,0.0955,0.0432,-0.3892,136.0
Chillanjirukkiye__From__Lubber_Pandhu__,0.0997,0.1169,-0.1183,143.55
Just_the_Way_You_Are,0.072,0.1179,2.2187,107.67
Yedi__From__Nilavuku_En_Mel_Ennadi_Kobam__,0.1038,0.059,0.1645,107.67
What_Do_You_Mean_,0.0736,0.188,1.8796,123.05
Can_I_Be_Him,0.0834,0.1025,0.4188,107.67
Sempoove_Poove__From__Sirai_Chalai__,0.1158,0.1261,0.2341,112.35
Po_Nee_Po___The_Pain_of_Love,0.0614,0.1057,0.2855,89.1
Ennai_Vittu__From__Love_Today__,0.0948,0.2065,0.2094,136.0
Enna_Nadanthalum,0.0701,0.1667,0.3494,172.27
Naetru_Aval_Irundhal,0.0779,0.0354,0.3498,161.5
Oh_Baby,0.0828,0.0824,0.1398,99.38
Hey_Minnale__From__Amaran____Tamil_,0.0721,0.0943,0.5279,107.67
Sangeetha_Megam,0.0586,0.0924,0.1837,95.7
Valaiyosai__From__Sathya__,0.1124,0.111,-0.0864,123.05
Thean_Kudika,0.0816,0.1315,-0.2074,136.0
Kathal_Oviyam___From__Alaigal_Oyvatillai_,0.1675,0.0668,0.2258,129.2
Dhinam_Dhinamum__From__Viduthalai_2__,0.0731,0.0973,0.3205,103.36
Moongil_Kaadugalae__From__Samurai__,0.0775,0.1691,-0.3049,143.55
Locked_Away__feat__Adam_Levine_,0.0787,0.1387,0.3807,123.05
Stitches,0.11,0.0555,0.3296,152.0
Enakkoru_Snehidhi,0.0692,0.1317,0.169,86.13
If_the_World_Was_Ending__feat__Julia_Michaels_,0.082,0.1057,0.203,143.55
Yendi_Vittu_Pona___From__Dragon_,0.0891,0.0816,0.163,117.45
Mayanginen_Solla_Thayanginen,0.1103,0.1581,0.2358,117.45
Kannukkulle,0.1138,0.0391,0.0592,117.45
Adi_Kattazhagu_Karuvaachi___From__Kalvan_,0.0866,0.0846,0.0075,99.38
Kan_Rendum,0.1069,0.141,0.185,99.38
