PLAYLIST,CLEANED_FEATURES_TRACK_NAME,ARTIST,DANCEABILITY,ENERGY,VALENCE,TEMPO
Hymn🌥️🩶,Love Yourself,Justin Bieber,0.7057626286,0.5768763802,0.4410764937,99.38
Hymn🌥️🩶,Sorry,Justin Bieber,0.5409846179,0.7996789194,0.4148434953,136
Hymn🌥️🩶,Say You Won t Let Go,James Arthur,0.4393090632,0.3852538195,0.46227894,129.2
Hymn🌥️🩶,Can I Be Him,James Arthur,0.7358577932,0.3520667423,0.4393215382,107.67
Hymn🌥️🩶,Treat You Better,Shawn Mendes,0.6810803355,0.4762084317,0.425516384,112.35
Hymn🌥️🩶,When We Were Young,Adele,0.1707542201,0.4482579957,0.428630983,136
Hymn🌥️🩶,Supermarket Flowers,Ed Sheeran,0.2599881344,0.3330975566,0.4087080346,172.27
Hymn🌥️🩶,Stitches,Shawn Mendes,0.5877975068,0.1533470702,0.4333763274,152
Hymn🌥️🩶,Mercy,Shawn Mendes,0.3685330943,0.3496845714,0.4232308016,143.55
Hymn🌥️🩶,Story of My Life,One Direction,0.4978606842,0.3773425385,0.4175263771,123.05
Hymn🌥️🩶,Too Good At Goodbyes,Sam Smith,0.2884554083,0.1804861258,0.4319346034,123.05
Hymn🌥️🩶,Just the Way You Are,Bruno Mars,0.3452738632,0.1481362721,1,107.67
Hymn🌥️🩶,Happier,Ed Sheeran,0.2654474118,0.2173364849,0.4021667019,89.1
Hymn🌥️🩶,One Last Time,Ariana Grande,0.5430430173,0.7043139218,0.4155473495,123.05
Hymn🌥️🩶,Scars To Your Beautiful,Alessia Cara,0.6364465641,0.7517709549,0.4268905272,129.2
Hymn🌥️🩶,Paris,The Chainsmokers,0.3779063016,0.4537467022,0.4200069478,99.38
Hymn🌥️🩶,Love Me Like You Do,Ellie Goulding,0.1779079791,0.1095800132,0.4317790321,123.05
Hymn🌥️🩶,Wildest Dreams,Taylor Swift,0.3909601549,0.5779966491,0.4234582691,136
Hymn🌥️🩶,Blank Space,Taylor Swift,0.784666214,0.2702243925,0.4230807525,95.7
Hymn🌥️🩶,I Like Me Better,Lauv,0.7327082281,0.4435035814,0.4174017647,92.29
Hymn🌥️🩶,Falling,Harry Styles,0.03505726405,0.3092600261,0.4157807449,112.35
Feels 🤍,Hey Minnale,G. V. Prakash,0.6584288492,0.3176176371,0.4434541317,107.67
Feels 🤍,Ayyayo,G. V. Prakash,0.4220162821,0.5060781311,0.4634903511,143.55
Feels 🤍,Koodha Kaathu,D. Imman,0.3074137065,0.2997961708,0.4204563913,129.2
Feels 🤍,Kannmoodi thirakkum,Devi Sri Prasad,0.215047355,0,0.4144384919,129.2
Feels 🤍,Chinna Chinna Kangal,Thalapathy Vijay,0.613113256,0.7517517301,0.4047633176,152
Feels 🤍,Yedhedho Pennae,G. V. Prakash,0.3908907812,0.3095829709,0.4248579464,107.67
Feels 🤍,Ennai Vittu,Yuvan Shankar Raja,0.4198245442,0.418231441,0.4167220842,143.55
Feels 🤍,Para Para,N.R. Raghunanthan,0.3390054613,0.706230664,0.422453149,123.05
Feels 🤍,Dhinam Dhinamum,Ilaiyaraaja,0.3551394276,0.3300671324,0.4296079956,103.36
Feels 🤍,Nila Nee Vaanam,Sabesh Murali,0.7309874473,0.7829050145,0.4168872454,136
Feels 🤍,Life of Pazham,Anirudh Ravichander,0.3846788973,0.3572818896,0.4021419533,172.27
Feels 🤍,Mannipaaya,A.R. Rahman,0.3387863659,0.2156670176,0.4383441802,112.35
Feels 🤍,Machaan Machaan,Yuvan Shankar Raja,0.5779019196,0.3760889568,0.4142592429,123.05
Feels 🤍,Kona Kondakari,N.R. Raghunanthan,0.7465903326,0.6828196715,0.3994752361,123.05
Feels 🤍,Mazhaiye Mazhaiye,Thaman S,0.5380296911,0.3832718076,0.4294253813,99.38
Feels 🤍,Chotta Chotta,C. Sathya,0.7740697568,1,0.3956712303,117.45
Feels 🤍,Maari s Aanandhi,Ilaiyaraaja,0.3916418198,0.6353436658,0.4216061396,99.38
Feels 🤍,Kannukkulle,Unni Menon,0.4706030991,0.08401237846,0.4163875056,117.45
Feels 🤍,Mazhai Vara Pogudhae,Harris Jayaraj,0.6481203123,0.4965651423,0.4068373593,112.35
Feels 🤍,Thulasi Chediya,Hariharan,0.3043716118,0.7236002849,0.4255853399,95.7
Feels 🤍,Pirai Thedum,Saindhavi,0.2715443001,0.3226685228,0.4160305191,117.45
Feels 🤍,Kan Rendum,M.S.Jones Rupert,0.7155559973,0.5150820729,0.4230554917,99.38
Feels 🤍,Vaartha Onnu,KK,0.4104209223,0.2173262738,0.4264641552,95.7
Feels 🤍,Orey Oru,Devi Sri Prasad,0.5137175478,0.1992580684,0.4169305556,143.55
Feels 🤍,Manasula Soora Kaathey,Santhosh Narayanan,0.2957125224,0.2431580128,0.4219630172,112.35
Feels 🤍,Kaathodu Kaathanen,G. V. Prakash,0.278471164,0.2349517733,0.4249798458,161.5
Feels 🤍,Iravaaga Nee,G. V. Prakash,0.2694562699,0.2819560471,0.2759046073,129.2
Feels 🤍,Endha Pakkam,Radhul Nambiar,0.2151351891,0.4114486232,0.3416090232,117.45
Feels 🤍,Oh Baby,Yuvan Shankar Raja,0.5728635876,0.2673518951,0.4168472665,99.38
Feels 🤍,Naetru Aval Irundhal,A.R. Rahman,0.1411530588,0.06845847506,0.4339710776,161.5
Feels 🤍,Innum Konjam Naeram,A.R. Rahman,0.3383005149,0.3580347446,0.3962758364,89.1
Feels 🤍,Chillanjirukkiye,Sean Roldan,0.4705763687,0.4132858189,0.4098382121,143.55
Feels 🤍,Enna Nadanthalum,Hiphop Tamizha,0.4854226497,0.6240186311,0.4327344477,172.27
Feels 🤍,Konjam 1,Armaan Malik,0.3715432065,0.7417279294,0.3980893275,117.45
Feels 🤍,Agasatha,Santhosh Narayanan,0.2420783586,0.5415857969,0.4300196792,129.2
Feels 🤍,Thean Kudika,Teejay,0.7823558745,0.3628809966,0.4166915234,136
Feels 🤍,Oru Kili Oru Kili,Satish Chakravarthy,0.4385761323,0.2613605395,0.4151390434,117.45
Feels 🤍,Yedho Ondru Ennai,Yuvan Shankar Raja,0.3376131276,0.3212996869,0.4218873833,123.05
Feels 🤍,Aagaya Suriyanai,Harish Raghavendra,0.8659325024,0.607397516,0.4141546725,117.45
Feels 🤍,Naan Sonnadhum Mazhai,Naresh Iyer,0.552446796,0.7912618691,0.3089655686,89.1
Feels 🤍,Vinmeen,Nivas K Prasanna,0.5260629273,0.1919150216,0.4211113061,99.38
Feels 🤍,Usuraiya Tholaichaen,Stephen Zechariah,0,0.08012495446,0.431739177,117.45
Feels 🤍,Kodi Aruvi,Sean Roldan,0.5878278431,0.7205529365,0.4389295427,103.36
