playlist,track_name,artist,preview_url
Hymn🌥️🩶,Love Yourself,Justin Bieber,
Hymn🌥️🩶,Sorry,Justin Bieber,
Hymn🌥️🩶,Say You Won't Let Go,James Arthur,
Hymn🌥️🩶,Can I Be Him,James Arthur,
Hymn🌥️🩶,Treat You Better,Shawn Mendes,
Hymn🌥️🩶,When We Were Young,Adele,
Hymn🌥️🩶,Supermarket Flowers,Ed Sheeran,
Hymn🌥️🩶,What Do You Mean?,Justin Bieber,
Hymn🌥️🩶,Calm Down (with Selena Gomez),Rema,
Hymn🌥️🩶,Stitches,Shawn Mendes,
Hymn🌥️🩶,Mercy,Shawn Mendes,
Hymn🌥️🩶,Story of My Life,One Direction,
Hymn🌥️🩶,Too Good At Goodbyes,Sam Smith,
Hymn🌥️🩶,Just the Way You Are,Bruno Mars,
Hymn🌥️🩶,Happier,Ed Sheeran,
Hymn🌥️🩶,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,
Hymn🌥️🩶,One Last Time,Ariana Grande,
Hymn🌥️🩶,Locked Away (feat. Adam Levine),R. City,
Hymn🌥️🩶,Scars To Your Beautiful,Alessia Cara,
Hymn🌥️🩶,Paris,The Chainsmokers,
Hymn🌥️🩶,Love Me Like You Do,Ellie Goulding,
Hymn🌥️🩶,Wildest Dreams,Taylor Swift,
Hymn🌥️🩶,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,
Hymn🌥️🩶,Blank Space,Taylor Swift,
Hymn🌥️🩶,APT.,ROSÉ,
Hymn🌥️🩶,I Like Me Better,Lauv,
Hymn🌥️🩶,If the World Was Ending (feat. Julia Michaels),JP Saxe,
Hymn🌥️🩶,Falling,Harry Styles,
Hymn🌥️🩶,happier,Olivia Rodrigo,
Feels 🤍,"Hey Minnale (From ""Amaran"") (Tamil)",G. V. Prakash,
Feels 🤍,"Nira - From ""Takkar""",Sid Sriram,
Feels 🤍,"Adi Kattazhagu Karuvaachi - From ""Kalvan""",G. V. Prakash,
Feels 🤍,Ayyayo,G. V. Prakash,
Feels 🤍,Koodha Kaathu,D. Imman,
Feels 🤍,"Adiye - From ""Bachelor""",Dhibu Ninan Thomas,
Feels 🤍,"Kangal Edho - From ""Chithha""",Dhibu Ninan Thomas,
Feels 🤍,Kannmoodi thirakkum,Devi Sri Prasad,
Feels 🤍,"Chinna Chinna Kangal (From ""The Greatest Of All Time"")",Thalapathy Vijay,
Feels 🤍,Yedhedho Pennae,G. V. Prakash,
